,drawing,word
0,"[[[51, 43, 17, 2, 0, 4, 21, 28, 60, 74, 79, 79, 76, 62], [8, 5, 7, 28, 34, 41, 62, 66, 75, 73, 58, 29, 22, 13]], [[80, 181, 253, 255], [34, 35, 29, 43]], [[214, 216], [33, 49]], [[231, 227, 227], [29, 16, 0]], [[63, 24, 17, 12, 12, 28, 73, 76, 66, 59, 39, 32, 30, 43], [9, 9, 13, 21, 48, 58, 59, 46, 19, 14, 12, 18, 26, 29]]]",key
1,"[[[115, 118, 125, 134, 154, 164, 174, 173, 157, 144, 130, 97, 30, 19, 3, 0, 3, 16, 67, 117, 122, 122, 117], [48, 21, 9, 2, 1, 6, 19, 28, 47, 130, 142, 150, 152, 147, 134, 118, 112, 104, 96, 73, 64, 54, 40]], [[170, 210, 255, 234, 168, 188, 205], [19, 20, 39, 38, 23, 20, 23]]]",bee
2,"[[[11, 8, 17, 48], [39, 79, 129, 128]], [[23, 23, 33, 203, 229, 226, 214, 202, 183, 157, 130, 110, 0], [70, 78, 81, 95, 101, 112, 129, 160, 171, 157, 135, 126, 121]], [[241, 242, 255], [110, 67, 0]], [[191, 192, 229, 238, 254], [208, 189, 34, 27, 21]]]",bed
3,"[[[62, 64, 74, 96, 119, 144, 161, 179, 180, 176], [21, 60, 77, 103, 110, 102, 85, 55, 39, 27]], [[71, 109, 144, 162, 173, 175], [21, 42, 49, 47, 42, 30]], [[68, 80, 112, 130, 168], [11, 11, 0, 0, 18]], [[69, 46, 22, 4, 0, 0, 24, 40, 74, 114, 185, 215, 253, 255, 232, 196, 169], [78, 71, 74, 98, 109, 121, 144, 151, 157, 158, 141, 139, 115, 110, 90, 78, 76]]]",coffee_cup
4,"[[[55, 43, 35, 43, 64, 69, 72, 50, 42, 42], [155, 187, 253, 255, 252, 245, 148, 148, 153, 197]], [[44, 26, 12, 5, 0, 12, 32, 39, 46, 75, 97, 109, 119, 121, 127, 136, 133, 114], [146, 151, 151, 148, 141, 58, 10, 2, 0, 0, 14, 29, 65, 102, 117, 131, 139, 143]]]",popsicle
5,"[[[174, 137, 113, 67, 10, 0, 0, 8, 28, 72, 146, 201, 239, 255, 226, 176], [25, 45, 71, 107, 178, 200, 202, 203, 203, 180, 124, 71, 30, 1, 1, 25]], [[79, 111], [101, 134]], [[135, 173, 146, 119], [65, 117, 94, 62]], [[106, 123, 138, 147, 147, 141, 129, 120, 112, 103], [103, 97, 104, 118, 121, 125, 129, 127, 120, 104]], [[171, 171], [51, 51]], [[176, 176], [48, 48]], [[176, 176], [48, 48]], [[217, 217], [17, 17]], [[213, 213], [17, 17]], [[188, 188], [31, 31]], [[211, 211], [37, 38]], [[203, 198], [38, 44]], [[165, 165], [53, 53]]]",bee
6,"[[[231, 32, 19, 8, 1, 0, 5, 20, 30, 53, 91, 238, 247, 252, 255, 255, 246, 235, 211], [0, 0, 6, 16, 30, 48, 59, 72, 78, 83, 86, 88, 83, 73, 58, 25, 8, 2, 1]], [[99, 94, 94], [2, 51, 90]], [[187, 180, 180], [0, 57, 85]]]",bandage
7,"[[[32, 23, 19, 0, 1, 12, 23, 39, 44, 62, 74, 81, 91, 102, 122, 138, 151, 154, 172, 187, 198, 202, 242, 249, 255, 250, 230, 208, 179, 183], [128, 103, 77, 44, 33, 21, 19, 42, 45, 12, 2, 0, 11, 45, 13, 1, 23, 55, 15, 1, 20, 59, 66, 75, 96, 105, 113, 117, 114, 156]]]",raccoon
8,"[[[93, 78, 35, 19, 2, 0, 7, 34, 108, 120, 156, 169, 168, 164, 155, 147, 133, 115, 97, 115, 118, 114, 105, 116, 122, 114, 121, 121, 109, 82, 73], [99, 133, 211, 234, 251, 254, 255, 236, 196, 180, 117, 75, 52, 36, 20, 14, 6, 1, 0, 8, 11, 12, 4, 2, 6, 10, 26, 39, 63, 92, 107]]]",banana
9,"[[[2, 1, 9, 21, 31, 48, 57, 60, 57, 59, 56, 58, 48], [153, 203, 248, 255, 255, 245, 221, 193, 174, 135, 126, 112, 89]], [[0, 7, 33], [169, 140, 104]], [[58, 61, 70, 79, 80, 74, 62, 52, 37, 13, 2, 1, 8, 19, 21], [94, 86, 79, 64, 25, 14, 3, 0, 2, 18, 35, 46, 80, 96, 107]], [[21, 28], [98, 107]]]",spoon
10,"[[[7, 4, 0, 0, 3, 71, 86, 112, 113, 110, 87, 38, 29, 18, 9], [0, 187, 224, 251, 255, 255, 248, 247, 43, 37, 25, 7, 7, 15, 17]], [[110, 105, 102, 97, 100, 101, 104, 105], [132, 119, 119, 128, 130, 123, 126, 121]]]",door
11,"[[[26, 57], [63, 79]], [[52, 22, 0], [79, 86, 84]], [[27, 27, 31, 51, 68, 92, 113, 175, 199, 225, 236, 250, 254], [63, 48, 43, 35, 36, 59, 66, 62, 42, 37, 39, 51, 69]], [[255, 235, 217, 201, 172, 138, 73, 62, 27, 15, 6, 2, 19], [122, 144, 154, 157, 156, 147, 110, 108, 112, 110, 103, 92, 81]], [[217, 210, 209, 219, 221, 220], [63, 68, 74, 78, 74, 67]], [[172, 172, 166, 167, 170], [60, 53, 51, 59, 58]], [[157, 150, 134, 108, 94, 68], [40, 28, 13, 1, 0, 9]]]",toaster
